,Edi06,Edi06,Edi09,Edi09,D2872,D2872,D2893,D2893
,wt% mean,stdev (n=3),wt% mean,stdev (n=5),wt% mean,stdev (n=5),wt% mean,stdev (n=4)
Si,23.155,0.035,22.164,0.046,22.842,0.053,22.142,0.032
Al,7.739,0.056,7.887,0.041,8.135,0.032,7.87,0.021
Cl,0.003,0.003,0.007,0.003,4.394,0.049,1.015,0.006
P,0.085,0.003,0.084,0.003,0.082,0.006,0.083,0.003
Fe,6.087,0.057,5.843,0.081,0.135,0.017,5.756,0.015
Mn,0.265,0.007,0.245,0.011,0.183,0.005,0.245,0.011
Cr,0.034,0.008,0.061,0.004,0.024,0.006,0.045,0.006
K,0.173,0.004,0.158,0.006,0.172,0.005,0.162,0.006
Ca,10.639,0.011,10.119,0.028,10.463,0.052,10.141,0.032
Ru,0.009,0.016,0.009,0.021,0.0,0.0,0.012,0.008
Na,1.333,0.024,1.266,0.025,1.279,0.015,1.261,0.031
Mg,5.614,0.012,5.185,0.011,5.303,0.019,5.219,0.014
O,44.529,0.059,42.914,0.03,41.636,0.05,42.86,0.072
Total,99.667,0.169,95.943,0.087,94.647,0.025,96.814,0.175
