,D2872_1_base,D2872_1_base,D2872_2_bg,D2872_2_bg,D2872_3_bg_apf,D2872_3_bg_apf
,average,stdev,average,stdev,average,stdev
wt% element,,,,,,
Si,22.842,0.0,22.842,0.0,22.842,0.0
Al,8.135,0.0,8.135,0.0,8.135,0.0
Ca,10.463,0.0,10.463,0.0,10.463,0.0
Mg,5.303,0.0,5.303,0.0,5.303,0.0
Fe,0.135,0.0,0.135,0.0,0.135,0.0
Mn,0.183,0.0,0.183,0.0,0.183,0.0
K,0.172,0.0,0.172,0.0,0.172,0.0
Na,1.279,0.0,1.279,0.0,1.279,0.0
H,0.599,0.0,0.578,0.003,0.574,0.003
N,0.0,0.0,0.182,0.025,0.219,0.031
P,0.082,0.0,0.082,0.0,0.082,0.0
Cl,4.394,0.0,4.394,0.0,4.394,0.0
Cr,0.024,0.0,0.024,0.0,0.024,0.0
Ru,0.0,0.0,0.0,0.0,0.0,0.0
O,46.389,0.0,46.228,0.023,46.195,0.027
TOTAL,100.0,0.0,100.0,0.0,100.0,0.0
