,Edi09_1_base,Edi09_1_base,Edi09_2_bg,Edi09_2_bg,Edi09_3_bg_apf,Edi09_3_bg_apf
,average,stdev,average,stdev,average,stdev
wt% element,,,,,,
Si,22.164,0.0,22.164,0.0,22.164,0.0
Al,7.887,0.0,7.887,0.0,7.887,0.0
Ca,10.119,0.0,10.119,0.0,10.119,0.0
Mg,5.185,0.0,5.185,0.0,5.185,0.0
Fe,5.843,0.0,5.843,0.0,5.843,0.0
Mn,0.245,0.0,0.245,0.0,0.245,0.0
K,0.158,0.0,0.158,0.0,0.158,0.0
Na,1.266,0.0,1.266,0.0,1.266,0.0
H,0.454,0.0,0.444,0.002,0.442,0.002
N,0.0,0.0,0.088,0.017,0.106,0.021
P,0.084,0.0,0.084,0.0,0.084,0.0
Cl,0.007,0.0,0.007,0.0,0.007,0.0
Cr,0.061,0.0,0.061,0.0,0.061,0.0
Ru,0.009,0.0,0.009,0.0,0.009,0.0
O,46.518,0.0,46.44,0.016,46.424,0.019
TOTAL,100.0,0.0,100.0,0.0,100.0,0.0
