,hyalophane_BNcalib_1_base,hyalophane_BNcalib_1_base,hyalophane_BNcalib_2_bg,hyalophane_BNcalib_2_bg,hyalophane_BNcalib_3_bg_apf,hyalophane_BNcalib_3_bg_apf,hyalophane_GaNcalib_1_base,hyalophane_GaNcalib_1_base,hyalophane_GaNcalib_2_bg,hyalophane_GaNcalib_2_bg,hyalophane_GaNcalib_3_bg_apf,hyalophane_GaNcalib_3_bg_apf
,average,stdev,average,stdev,average,stdev,average,stdev,average,stdev,average,stdev
wt% element,,,,,,,,,,,,
Si,22.86,0.0,22.86,0.0,22.86,0.0,22.86,0.0,22.86,0.0,22.86,0.0
Al,11.88,0.0,11.88,0.0,11.88,0.0,11.88,0.0,11.88,0.0,11.88,0.0
Fe,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0
K,5.11,0.0,5.11,0.0,5.11,0.0,5.11,0.0,5.11,0.0,5.11,0.0
Na,1.13,0.0,1.13,0.0,1.13,0.0,1.13,0.0,1.13,0.0,1.13,0.0
H,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.06,0.0,0.07,0.0
N,0.0,0.0,0.16,0.02,0.17,0.02,0.0,0.0,0.19,0.01,0.23,0.01
Sr,0.34,0.0,0.34,0.0,0.34,0.0,0.34,0.0,0.34,0.0,0.34,0.0
Ba,18.44,0.0,18.44,0.0,18.44,0.0,18.44,0.0,18.44,0.0,18.44,0.0
O,40.26,0.0,40.35,0.01,40.36,0.01,40.26,0.0,40.37,0.0,40.39,0.01
TOTAL,100.02,0.0,100.32,0.03,100.34,0.03,100.02,0.0,100.38,0.02,100.45,0.02
