,1_base,1_base,1_base,1_base,1_base,2_bg,2_bg,2_bg,2_bg,2_bg,3_bg_apf,3_bg_apf,3_bg_apf,3_bg_apf,3_bg_apf
,N wt% (average),N detlim,N detlim (orig),N stdev abs (individual spots),N stdev abs (multiple spots),N wt% (average),N detlim,N detlim (orig),N stdev abs (individual spots),N stdev abs (multiple spots),N wt% (average),N detlim,N detlim (orig),N stdev abs (individual spots),N stdev abs (multiple spots)
sample,,,,,,,,,,,,,,,
buddingtonite,4.28091,,0.0266,0.8262803242000001,0.1936042720344774,4.39946,0.0377862,0.0266,0.8550889044,0.2024354839201856,5.201822,0.0449805999999999,0.0266,1.0110428236,0.2382495732839828
hyalophane_BNcalib,0.0,,0.02396,0.0,0.0,0.162832,0.0181342,0.02396,0.01304227386,0.0159613663418893,0.1713902,0.0190886,0.02396,0.01420219448,0.0167994262759178
hyalophane_GaNcalib,0.0,,0.01952,0.0,0.0,0.1923556,0.0134367999999999,0.01952,0.0131889127,0.0082708141255864,0.228927,0.015996,0.01952,0.0166216196799999,0.0098400332316511
D2872,0.0,,0.0190357142857142,0.0,0.0,0.1818065,0.0204277857142857,0.0190357142857142,0.0190669725857142,0.0254871074368983,0.2190407857142857,0.0246113571428571,0.0190357142857142,0.0245717296857142,0.0307067383739454
D2893,0.0,,0.0175761904761904,0.0,0.0,0.0585531904761904,0.0194303333333333,0.0175761904761904,0.0152853432095238,0.0155800715101665,0.0705456666666666,0.0234099047619047,0.0175761904761904,0.0186389857047619,0.0187709226526916
Edi06,0.0,,0.01184,0.0,0.0,0.010434,0.0217872,0.01184,0.0074170410999999,0.0149535953369081,0.0125712,0.0262473999999999,0.01184,0.0089572789,0.018015010621701
Edi09,0.0,,0.0138153846153846,0.0,0.0,0.0877063846153846,0.0253066153846153,0.0138153846153846,0.0138024853230769,0.0174952838337386,0.1056693846153846,0.0304897692307692,0.0138153846153846,0.017083964676923,0.0210783883418477
A870,0.555614125,,0.025225,0.0284660813,0.0338735658481338,0.948490375,0.02058225,0.025225,0.024366466275,0.0367751599974668,1.1426125,0.024797875,0.025225,0.050721766625,0.0442983633202982
A876,0.218989,,0.0250333333333333,0.0263268433333333,0.1079225744744814,0.6015555,0.0213071666666666,0.0250333333333333,0.0215400478,0.104985965391094,0.7247046666666667,0.0256708333333333,0.0250333333333333,0.0369959899166666,0.1264705074848151
B989,0.6491148333333333,,0.0252,0.0294850549333333,0.0297166191375577,1.0518533333333333,0.0226453333333333,0.0252,0.0248736181666666,0.0242317714306376,1.26712,0.0272835,0.0252,0.0547257903333333,0.0291861412317558
